datetime_beginning_ept,load_area,mw,year,black_friday
2016-11-01 05:00:00,CE,8330.038,2016,2016-11-25
2016-11-01 05:00:00,DAY,1618.0,2016,2016-11-25
2016-11-01 05:00:00,DEOK,2382.808,2016,2016-11-25
2016-11-01 05:00:00,DUQ,1275.583,2016,2016-11-25
2016-11-01 05:00:00,RTO,72052.043,2016,2016-11-25
2016-11-01 05:00:00,DOM,8540.866,2016,2016-11-25
2016-11-01 05:00:00,EKPC,1018.26,2016,2016-11-25
2016-11-01 06:00:00,AE,1017.954,2016,2016-11-25
2016-11-01 06:00:00,BC,3256.508,2016,2016-11-25
2016-11-01 06:00:00,DPLCO,1958.642,2016,2016-11-25
2016-11-01 06:00:00,EASTON,27.142,2016,2016-11-25
2016-11-01 06:00:00,JC,2363.468,2016,2016-11-25
2016-11-01 06:00:00,ME,1804.437,2016,2016-11-25
2016-11-01 06:00:00,PE,4101.322,2016,2016-11-25
2016-11-01 06:00:00,PEPCO,2671.004,2016,2016-11-25
2016-11-01 06:00:00,SMECO,371.986,2016,2016-11-25
2016-11-01 06:00:00,PLCO,4792.712,2016,2016-11-25
2016-11-01 06:00:00,UGI,127.774,2016,2016-11-25
2016-11-01 06:00:00,PN,2033.86,2016,2016-11-25
2016-11-01 06:00:00,PS,4489.656,2016,2016-11-25
2016-11-01 06:00:00,RECO,142.481,2016,2016-11-25
2016-11-01 06:00:00,AEPAPT,3883.75,2016,2016-11-25
2016-11-01 06:00:00,AEPIMP,3099.782,2016,2016-11-25
2016-11-01 06:00:00,AEPKPT,576.994,2016,2016-11-25
2016-11-01 06:00:00,AEPOPT,5742.628,2016,2016-11-25
2016-11-01 06:00:00,AP,5335.707,2016,2016-11-25
2016-11-01 06:00:00,OE,6767.822,2016,2016-11-25
2016-11-01 06:00:00,PAPWR,557.641,2016,2016-11-25
2016-11-01 06:00:00,CE,9011.984,2016,2016-11-25
2016-11-01 06:00:00,DAY,1828.0,2016,2016-11-25
2016-11-01 06:00:00,DEOK,2657.887,2016,2016-11-25
2016-11-01 06:00:00,DUQ,1411.902,2016,2016-11-25
2016-11-01 06:00:00,RTO,80856.579,2016,2016-11-25
2016-11-01 06:00:00,DOM,9661.236,2016,2016-11-25
2016-11-01 06:00:00,EKPC,1162.3,2016,2016-11-25
2016-11-01 07:00:00,AE,1071.132,2016,2016-11-25
2016-11-01 07:00:00,BC,3502.612,2016,2016-11-25
2016-11-01 07:00:00,DPLCO,2038.067,2016,2016-11-25
2016-11-01 07:00:00,EASTON,30.254,2016,2016-11-25
2016-11-01 07:00:00,JC,2560.432,2016,2016-11-25
2016-11-01 07:00:00,ME,1887.375,2016,2016-11-25
2016-11-01 07:00:00,PE,4423.178,2016,2016-11-25
2016-11-01 07:00:00,PEPCO,2889.019,2016,2016-11-25
2016-11-01 07:00:00,SMECO,379.776,2016,2016-11-25
2016-11-01 07:00:00,PLCO,5037.154,2016,2016-11-25
2016-11-01 07:00:00,UGI,135.21,2016,2016-11-25
2016-11-01 07:00:00,PN,2172.017,2016,2016-11-25
2016-11-01 07:00:00,PS,4843.947,2016,2016-11-25
2016-11-01 07:00:00,RECO,160.389,2016,2016-11-25
2016-11-01 07:00:00,AEPAPT,4163.952,2016,2016-11-25
2016-11-01 07:00:00,AEPIMP,3297.175,2016,2016-11-25
