test_year,train_years,load_area,n_predictions,mse,rmse,mae,mape,avg_actual,avg_predicted
2021,2017-2018-2019-2020,AECO,240,4990.763749976043,70.64533777947447,59.80696041666667,6.723488031445199,922.6484125000001,928.9666041666667
2021,2017-2018-2019-2020,AEPAPT,240,299577.62572722445,547.336848501199,445.1750604166666,9.447769928922128,4621.933541666666,4449.073614583333
2021,2017-2018-2019-2020,AEPIMP,240,15778.30505023698,125.61172337897837,105.33197916666664,3.5770317703064687,3010.8807499999994,3009.7798374999998
2021,2017-2018-2019-2020,AEPKPT,240,11934.342642353124,109.24441698481952,86.16124166666667,13.701141289422955,673.0383625000001,698.0873145833334
2021,2017-2018-2019-2020,AEPOPT,240,283793.28939034947,532.7225257020295,426.362025,6.784857410953449,6266.4136375,6143.359177083333
2021,2017-2018-2019-2020,AP,240,252361.92654190044,502.35637404326866,422.1466770833333,7.33608560347346,5723.128470833334,5576.163575
2021,2017-2018-2019-2020,BC,240,108102.98773281378,328.79018801176807,286.68407604166663,8.553786134204872,3388.6637083333335,3344.6912010416663
2021,2017-2018-2019-2020,CE,240,214284.42466976057,462.90865693974723,387.0127510416666,3.9230753109293572,10148.583470833333,10271.689019791665
2021,2017-2018-2019-2020,DAY,240,19223.39375,138.6484538319847,109.69583333333334,5.841055320334979,1921.6916666666666,1940.3416666666667
2021,2017-2018-2019-2020,DEOK,240,47468.47409728464,217.87260979132884,173.65739479166666,6.230692056050744,2832.6908375,2819.346565625
2021,2017-2018-2019-2020,DOM,240,3153985.5143865803,1775.9463714838296,1441.6115854166667,11.313446546645874,12168.595475,10999.374447916665
2021,2017-2018-2019-2020,DPLCO,240,59406.75035940938,243.7350002757285,210.7262916666667,10.647822521951657,1999.4882708333332,1961.6594083333334
2021,2017-2018-2019-2020,DUQ,240,6963.990722384115,83.45052859259859,65.607753125,4.702027112832022,1420.1033458333332,1438.5281677083333
2021,2017-2018-2019-2020,EASTON,240,18.256621297395835,4.272776766623297,3.707495833333333,13.326402098802268,28.621208333333335,28.169633333333334
2021,2017-2018-2019-2020,EKPC,240,71250.38137912474,266.92767068838094,216.18189270833332,13.954765898052235,1574.4587250000002,1520.0410510416666
2021,2017-2018-2019-2020,JC,240,23538.805821994785,153.42361559419328,128.01730833333332,5.780318541434039,2283.281591666667,2321.8418395833337
2021,2017-2018-2019-2020,ME,240,12812.022324303389,113.19020418880508,99.18471354166668,5.7047525868243,1758.9811625,1735.2241093749997
2021,2017-2018-2019-2020,OE,240,109252.67826937993,330.5339290744294,268.334209375,4.010152489282773,6706.6506625,6699.170951041667
2021,2017-2018-2019-2020,OVEC,240,143.70625,11.987754168316933,10.591666666666667,40.135025124259336,28.425,38.675
2021,2017-2018-2019-2020,PAPWR,240,1863.8528719359376,43.172362362232825,36.47537291666666,6.603802827706493,563.3604041666666,552.7071958333332
2021,2017-2018-2019-2020,PE,240,94305.76110066481,307.0924308749156,243.13993437499997,6.1162082955907335,4127.4720875,4250.774313541667
2021,2017-2018-2019-2020,PEPCO,240,64668.158725277615,254.29934865287723,203.19292291666667,8.063295930348387,2604.9147333333335,2697.1813020833333
2021,2017-2018-2019-2020,PLCO,240,105941.06381645754,325.4858888131059,270.0409781249999,5.962529994611939,4596.263045833333,4559.533596875
2021,2017-2018-2019-2020,PN,240,10363.625486333074,101.80189333373458,79.87346562500001,4.168611269822116,1968.5068291666664,2012.7706927083332
2021,2017-2018-2019-2020,PS,240,54934.37528621951,234.38083387132897,191.91485729166664,4.43930560856149,4416.824045833333,4508.904461458334
