load_area,feature,importance,importance_norm
AEPIMP,peak_hour_lag_9d,0.03820246085524559,0.03820245786662543
AEPIMP,peak_hour_bf_lag_1yr,0.042405810207128525,0.04240580688967576
AEPIMP,peak_hour_bf_lag_2yr,0.045543696731328964,0.04554369316839592
AEPIMP,peak_hour_bf_lag_3yr,0.042367883026599884,0.042367879712114205
AEPIMP,peak_hour_bf_lag_4yr,0.04072188585996628,0.040721882674248755
AEPKPT,day_of_week,0.07332859933376312,0.0733286049337551
AEPKPT,month,0.08984227478504181,0.0898422816461577
AEPKPT,day_of_month,0.026822984218597412,0.026822986267027327
AEPKPT,is_blackfriday,0.0,0.0
AEPKPT,is_thanksgiving,0.0,0.0
AEPKPT,days_from_bf,0.08774667978286743,0.08774668648394597
AEPKPT,peak_hour_lag_2d,0.1176137924194336,0.11761380140141743
AEPKPT,peak_hour_lag_3d,0.08779385685920715,0.08779386356388853
AEPKPT,peak_hour_lag_4d,0.09282039850950241,0.09282040559805302
AEPKPT,peak_hour_lag_5d,0.09677992016077042,0.09677992755170359
AEPKPT,peak_hour_lag_6d,0.05108876898884773,0.05108877289041819
AEPKPT,peak_hour_lag_7d,0.06264694780111313,0.06264695258536386
AEPKPT,peak_hour_lag_8d,0.0525813065469265,0.05258131056247974
AEPKPT,peak_hour_lag_9d,0.04025885462760925,0.04025885770211586
AEPKPT,peak_hour_bf_lag_1yr,0.030649933964014053,0.030649936304702217
AEPKPT,peak_hour_bf_lag_2yr,0.02949879691004753,0.029498799162825134
AEPKPT,peak_hour_bf_lag_3yr,0.029589451849460602,0.029589454109161382
AEPKPT,peak_hour_bf_lag_4yr,0.030937356874346733,0.03093735923698494
AEPOPT,day_of_week,0.08801697194576263,0.08801696243698928
AEPOPT,month,0.16930893063545227,0.16930891234443166
AEPOPT,day_of_month,0.032298848032951355,0.03229884454359676
AEPOPT,is_blackfriday,0.0,0.0
AEPOPT,is_thanksgiving,0.0,0.0
AEPOPT,days_from_bf,0.13663923740386963,0.13663922264226727
